split,source_base,n,main_CD,main_HYP,main_MI,main_NORM,main_STTC,aux_RHYTHM,aux_FORM,aux_PACE
test,Chapman-Shaoxing-Ningbo,4990,1013,1224,44,1567,2682,3494,2176,3488
test,cpsc_2018,948,558,0,0,184,219,87,184,87
test,cpsc_2018_extra,671,77,46,303,0,464,407,1,208
test,georgia,1751,446,443,2,350,1009,666,649,666
test,ptb,96,5,2,74,16,0,75,16,8
test,ptb-xl,4290,1012,575,1117,3632,1165,1750,3947,956
train,Chapman-Shaoxing-Ningbo,14974,3041,3696,118,4762,7962,10453,6609,10442
train,cpsc_2018,2840,1673,0,0,550,646,237,550,237
train,cpsc_2018_extra,2019,233,133,901,4,1412,1215,5,610
train,georgia,5251,1340,1335,5,1049,3061,2013,1897,2009
train,ptb,289,14,8,221,48,0,223,48,22
train,ptb-xl,12866,3035,1718,3274,10849,3499,5266,11794,2965
val,Chapman-Shaoxing-Ningbo,4991,1014,1219,42,1572,2647,3512,2145,3506
val,cpsc_2018,947,558,0,0,183,218,67,183,67
val,cpsc_2018_extra,674,78,44,303,0,470,410,0,199
val,georgia,1751,447,433,0,350,1016,698,627,698
val,ptb,97,5,3,73,16,0,74,16,9
val,ptb-xl,4289,1012,576,1094,3611,1160,1775,3941,988
