class,bin,bin_low,bin_high,n,mean_predicted_probability,fraction_positive
CD,0,0.0,0.1,12990,0.05406666016084263,0.006466512702078522
CD,1,0.1,0.2,7447,0.1447363707308355,0.043238888142876325
CD,2,0.2,0.30000000000000004,4422,0.24691021184625264,0.09339665309814564
CD,3,0.30000000000000004,0.4,2995,0.34710843447651807,0.14791318864774625
CD,4,0.4,0.5,2158,0.44838957296575627,0.19045412418906396
CD,5,0.5,0.6000000000000001,1657,0.549991082015639,0.22812311406155703
CD,6,0.6000000000000001,0.7000000000000001,1654,0.6501104122493979,0.30773881499395406
CD,7,0.7000000000000001,0.8,1729,0.7520955273565907,0.3892423366107577
CD,8,0.8,0.9,2201,0.8534923983075196,0.48159927305770106
CD,9,0.9,1.0,9326,0.9762477273532513,0.7742869397383658
HYP,0,0.0,0.1,15072,0.04098425411608031,0.017184182590233545
HYP,1,0.1,0.2,6762,0.14564967448543564,0.04821058858325939
HYP,2,0.2,0.30000000000000004,4265,0.2465875998645986,0.08698710433763189
HYP,3,0.30000000000000004,0.4,3233,0.3481861275764504,0.12372409526755336
HYP,4,0.4,0.5,2694,0.4494761877265256,0.16184112843355605
HYP,5,0.5,0.6000000000000001,2370,0.5482633605033537,0.20759493670886076
HYP,6,0.6000000000000001,0.7000000000000001,2383,0.6493897781219995,0.27444397817876626
HYP,7,0.7000000000000001,0.8,2289,0.7505349676491341,0.42682394058540846
HYP,8,0.8,0.9,2824,0.8525652883748495,0.578257790368272
HYP,9,0.9,1.0,4687,0.959582763146001,0.7708555579261788
MI,0,0.0,0.1,16194,0.0357339810001346,0.006175126590095097
MI,1,0.1,0.2,6192,0.14610810802036592,0.010012919896640826
MI,2,0.2,0.30000000000000004,4068,0.24682396664233802,0.02064896755162242
MI,3,0.30000000000000004,0.4,3026,0.34887704277818593,0.02742894910773298
MI,4,0.4,0.5,2455,0.44783153435606093,0.04236252545824847
MI,5,0.5,0.6000000000000001,2181,0.5486117950113254,0.058688674919761576
MI,6,0.6000000000000001,0.7000000000000001,2003,0.6491173433769482,0.07538691962056915
MI,7,0.7000000000000001,0.8,2111,0.7512085492551073,0.09379441023211749
MI,8,0.8,0.9,2518,0.8522061088238565,0.14614773629864972
MI,9,0.9,1.0,5831,0.9635087260249712,0.33013205282112845
NORM,0,0.0,0.1,3679,0.04254629863559713,0.0038053818972546886
NORM,1,0.1,0.2,1934,0.14698982799296664,0.014477766287487074
NORM,2,0.2,0.30000000000000004,1414,0.24791228972491314,0.018387553041018388
NORM,3,0.30000000000000004,0.4,1344,0.3490004027705817,0.03125
NORM,4,0.4,0.5,1434,0.45193521811456694,0.05090655509065551
NORM,5,0.5,0.6000000000000001,1658,0.5523241668112747,0.06574185765983112
NORM,6,0.6000000000000001,0.7000000000000001,2591,0.6553450574381662,0.09455808568120416
NORM,7,0.7000000000000001,0.8,5057,0.756426353993943,0.13723551512754598
NORM,8,0.8,0.9,9993,0.8540351002361638,0.2306614630241169
NORM,9,0.9,1.0,17475,0.9633299342245503,0.6149928469241774
STTC,0,0.0,0.1,13237,0.03878530035420821,0.13764448137795574
STTC,1,0.1,0.2,4804,0.1447613231037479,0.23563696919233973
STTC,2,0.2,0.30000000000000004,2955,0.24658759003363284,0.3346869712351946
STTC,3,0.30000000000000004,0.4,2358,0.3484282091424261,0.45250212044105176
STTC,4,0.4,0.5,2033,0.4490764889585755,0.5017215937038859
STTC,5,0.5,0.6000000000000001,1891,0.5493418811680084,0.5605499735589635
STTC,6,0.6000000000000001,0.7000000000000001,2060,0.6503926431380429,0.6398058252427185
STTC,7,0.7000000000000001,0.8,2514,0.7520432557107536,0.6964996022275258
STTC,8,0.8,0.9,4076,0.8554670098982569,0.7657016683022572
STTC,9,0.9,1.0,10651,0.9591527647025685,0.9098676180640315
