class,bin,bin_low,bin_high,n,mean_predicted_probability,fraction_positive
CD,0,0.0,0.1,6450,0.025959304031954768,0.014883720930232559
CD,1,0.1,0.2,999,0.14354357724492853,0.0890890890890891
CD,2,0.2,0.30000000000000004,663,0.24829744872374412,0.11312217194570136
CD,3,0.30000000000000004,0.4,540,0.3476609578839055,0.18703703703703703
CD,4,0.4,0.5,462,0.44864761893883415,0.23376623376623376
CD,5,0.5,0.6000000000000001,457,0.5496638520280434,0.32166301969365424
CD,6,0.6000000000000001,0.7000000000000001,401,0.650980120139229,0.47880299251870323
CD,7,0.7000000000000001,0.8,402,0.7517180476912219,0.5572139303482587
CD,8,0.8,0.9,486,0.8526970538092248,0.6419753086419753
CD,9,0.9,1.0,1886,0.9763475640391495,0.9369034994697774
HYP,0,0.0,0.1,6687,0.027322469984410208,0.010767160161507403
HYP,1,0.1,0.2,1274,0.1439159968970241,0.05180533751962323
HYP,2,0.2,0.30000000000000004,743,0.24496426674992366,0.1063257065948856
HYP,3,0.30000000000000004,0.4,558,0.349498222164783,0.16487455197132617
HYP,4,0.4,0.5,466,0.44939383359170265,0.20815450643776823
HYP,5,0.5,0.6000000000000001,439,0.5497201280604734,0.30751708428246016
HYP,6,0.6000000000000001,0.7000000000000001,493,0.6507641338189766,0.4117647058823529
HYP,7,0.7000000000000001,0.8,557,0.751123777839825,0.5511669658886894
HYP,8,0.8,0.9,636,0.853391020834071,0.690251572327044
HYP,9,0.9,1.0,893,0.955479060014979,0.8958566629339306
MI,0,0.0,0.1,7352,0.025727170191510086,0.005712731229597388
MI,1,0.1,0.2,1277,0.14313331064924936,0.03288958496476116
MI,2,0.2,0.30000000000000004,671,0.24576102186066562,0.043219076005961254
MI,3,0.30000000000000004,0.4,503,0.3487392674620535,0.09343936381709742
MI,4,0.4,0.5,421,0.4488504291854958,0.11401425178147269
MI,5,0.5,0.6000000000000001,313,0.5497620701789856,0.16932907348242812
MI,6,0.6000000000000001,0.7000000000000001,342,0.6504304705307498,0.2573099415204678
MI,7,0.7000000000000001,0.8,351,0.7508739873215005,0.34472934472934474
MI,8,0.8,0.9,449,0.8522674882066807,0.44988864142538976
MI,9,0.9,1.0,1067,0.9627805548844878,0.8134957825679475
NORM,0,0.0,0.1,4254,0.02725889518458457,0.017865538316878232
NORM,1,0.1,0.2,991,0.14483092601225908,0.07870837537840565
NORM,2,0.2,0.30000000000000004,597,0.24518827222899175,0.1658291457286432
NORM,3,0.30000000000000004,0.4,401,0.34743395908515057,0.2344139650872818
NORM,4,0.4,0.5,343,0.4489094502898069,0.32653061224489793
NORM,5,0.5,0.6000000000000001,312,0.5494071629184943,0.4166666666666667
NORM,6,0.6000000000000001,0.7000000000000001,337,0.6476244417071696,0.5370919881305638
NORM,7,0.7000000000000001,0.8,415,0.7541641249714127,0.6698795180722892
NORM,8,0.8,0.9,803,0.8588867273603845,0.8082191780821918
NORM,9,0.9,1.0,4293,0.9732889307842036,0.9438621010948055
STTC,0,0.0,0.1,3794,0.03565020539086502,0.03426462836056932
STTC,1,0.1,0.2,1329,0.1452261861764102,0.17155756207674944
STTC,2,0.2,0.30000000000000004,873,0.2484675518494155,0.2222222222222222
STTC,3,0.30000000000000004,0.4,673,0.34673315853456155,0.3803863298662704
STTC,4,0.4,0.5,714,0.45027370988821785,0.42016806722689076
STTC,5,0.5,0.6000000000000001,658,0.5517989964108336,0.5501519756838906
STTC,6,0.6000000000000001,0.7000000000000001,713,0.6515601755526089,0.6858345021037868
STTC,7,0.7000000000000001,0.8,864,0.751463306032949,0.7905092592592593
STTC,8,0.8,0.9,1179,0.8546419821117165,0.8719253604749788
STTC,9,0.9,1.0,1949,0.9499023954277469,0.9589533093894305
