class,bin,bin_low,bin_high,n,mean_predicted_probability,fraction_positive
CD,0,0.0,0.1,7060,0.016972751304955194,0.021954674220963172
CD,1,0.1,0.2,754,0.14649244021397054,0.09946949602122016
CD,2,0.2,0.30000000000000004,530,0.2480167897804728,0.13018867924528302
CD,3,0.30000000000000004,0.4,412,0.3486977448162523,0.1941747572815534
CD,4,0.4,0.5,358,0.4489233038445425,0.25139664804469275
CD,5,0.5,0.6000000000000001,359,0.5492262694164903,0.3231197771587744
CD,6,0.6000000000000001,0.7000000000000001,330,0.6485734856489933,0.403030303030303
CD,7,0.7000000000000001,0.8,361,0.7503741243209204,0.5512465373961218
CD,8,0.8,0.9,434,0.8548288573317814,0.5668202764976958
CD,9,0.9,1.0,2148,0.9811256983815181,0.9068901303538175
HYP,0,0.0,0.1,7439,0.018715106730367043,0.01384594703589192
HYP,1,0.1,0.2,956,0.14335288476806804,0.0794979079497908
HYP,2,0.2,0.30000000000000004,529,0.2467187316296006,0.13610586011342155
HYP,3,0.30000000000000004,0.4,433,0.347148256957118,0.17782909930715934
HYP,4,0.4,0.5,371,0.4483033778532496,0.21024258760107817
HYP,5,0.5,0.6000000000000001,341,0.548620134155072,0.2844574780058651
HYP,6,0.6000000000000001,0.7000000000000001,393,0.6518996198668735,0.3994910941475827
HYP,7,0.7000000000000001,0.8,458,0.7528999594882065,0.4890829694323144
HYP,8,0.8,0.9,580,0.8518237263991915,0.603448275862069
HYP,9,0.9,1.0,1246,0.9625749787013756,0.8475120385232745
MI,0,0.0,0.1,8142,0.017902215323924022,0.008106116433308769
MI,1,0.1,0.2,889,0.1442410266540182,0.04161979752530934
MI,2,0.2,0.30000000000000004,482,0.2477919558890133,0.04979253112033195
MI,3,0.30000000000000004,0.4,382,0.3489370176773421,0.10471204188481675
MI,4,0.4,0.5,329,0.4489726638902647,0.12462006079027356
MI,5,0.5,0.6000000000000001,254,0.5513276065897754,0.16929133858267717
MI,6,0.6000000000000001,0.7000000000000001,263,0.6523918976348616,0.21673003802281368
MI,7,0.7000000000000001,0.8,299,0.7506560703185091,0.3210702341137124
MI,8,0.8,0.9,391,0.8522474502053712,0.36828644501278773
MI,9,0.9,1.0,1315,0.9712782703425041,0.7543726235741445
NORM,0,0.0,0.1,4840,0.02036639184583799,0.025
NORM,1,0.1,0.2,757,0.1446210395254421,0.11492734478203434
NORM,2,0.2,0.30000000000000004,426,0.2468389596947482,0.20422535211267606
NORM,3,0.30000000000000004,0.4,295,0.3493029228711532,0.2542372881355932
NORM,4,0.4,0.5,268,0.44872134245598494,0.332089552238806
NORM,5,0.5,0.6000000000000001,252,0.5505985418955485,0.4087301587301587
NORM,6,0.6000000000000001,0.7000000000000001,273,0.6509960575418158,0.5018315018315018
NORM,7,0.7000000000000001,0.8,300,0.7532582503557205,0.58
NORM,8,0.8,0.9,532,0.8568822836741469,0.7424812030075187
NORM,9,0.9,1.0,4803,0.9810926788503023,0.9329585675619404
STTC,0,0.0,0.1,4570,0.026888770079657457,0.05667396061269147
STTC,1,0.1,0.2,1031,0.1452353595314271,0.18622696411251213
STTC,2,0.2,0.30000000000000004,699,0.24793227424096312,0.296137339055794
STTC,3,0.30000000000000004,0.4,524,0.35090956268192247,0.3950381679389313
STTC,4,0.4,0.5,559,0.45093141925356256,0.4347048300536673
STTC,5,0.5,0.6000000000000001,502,0.550650792055396,0.5219123505976095
STTC,6,0.6000000000000001,0.7000000000000001,569,0.6504726436100442,0.6449912126537786
STTC,7,0.7000000000000001,0.8,692,0.7517410061090668,0.7615606936416185
STTC,8,0.8,0.9,949,0.8529339880536303,0.8187565858798735
STTC,9,0.9,1.0,2651,0.9614146750227814,0.942285929837797
