class,ablation,mean_delta,mean_abs_delta,median_abs_delta,p95_abs_delta,max_abs_delta
CD,all_meta_zeroed,0.0665092021226883,0.06659301370382309,0.04817460477352142,0.19646652042865753,0.39299914240837097
CD,age_zeroed,0.07402141392230988,0.07402141392230988,0.05430072546005249,0.21287649869918823,0.37672141194343567
CD,sex_zeroed,-0.009275051765143871,0.013692396692931652,0.009738922119140625,0.04294142872095108,0.09881949424743652
HYP,all_meta_zeroed,0.04103414714336395,0.041621167212724686,0.0163971409201622,0.16696564853191376,0.3712831735610962
HYP,age_zeroed,0.05973975360393524,0.05973975360393524,0.028601476922631264,0.2237381935119629,0.4631175398826599
HYP,sex_zeroed,-0.023137809708714485,0.024234775453805923,0.011816442012786865,0.08757822215557098,0.15909215807914734
MI,all_meta_zeroed,0.08699692785739899,0.08704227954149246,0.05106213316321373,0.27542591094970703,0.470488965511322
MI,age_zeroed,0.08341442793607712,0.08341442793607712,0.050916969776153564,0.2588687241077423,0.41913825273513794
MI,sex_zeroed,0.00362230371683836,0.01669018343091011,0.008653178811073303,0.0628918781876564,0.1464991271495819
NORM,all_meta_zeroed,-0.025992007926106453,0.026188740506768227,0.009801328182220459,0.11295849084854126,0.33349111676216125
NORM,age_zeroed,-0.03236657753586769,0.03236657753586769,0.013697981834411621,0.13451680541038513,0.3962761461734772
NORM,sex_zeroed,0.007932297885417938,0.008497781120240688,0.004242062568664551,0.032223306596279144,0.08805739879608154
STTC,all_meta_zeroed,0.07673477381467819,0.07674544304609299,0.03532382845878601,0.28142106533050537,0.46863970160484314
STTC,age_zeroed,0.08478967100381851,0.08478967100381851,0.04038754850625992,0.31214484572410583,0.497814416885376
STTC,sex_zeroed,-0.00808026548475027,0.011609517969191074,0.00639478862285614,0.0393364243209362,0.08025193214416504
