class,bin,bin_low,bin_high,n,mean_predicted_probability,fraction_positive
CD,0,0.0,0.1,3820,0.04561591214404066,0.02617801047120419
CD,1,0.1,0.2,2117,0.14697902022131107,0.07557864903164856
CD,2,0.2,0.30000000000000004,1542,0.24717046967894804,0.1245136186770428
CD,3,0.30000000000000004,0.4,1068,0.3462824770406391,0.150749063670412
CD,4,0.4,0.5,653,0.44642794177871753,0.23124042879019907
CD,5,0.5,0.6000000000000001,464,0.5465235074275526,0.2521551724137931
CD,6,0.6000000000000001,0.7000000000000001,405,0.6496550431957951,0.36049382716049383
CD,7,0.7000000000000001,0.8,388,0.7487143904892439,0.46134020618556704
CD,8,0.8,0.9,449,0.8517418797138273,0.5478841870824054
CD,9,0.9,1.0,1840,0.9788815634730069,0.9016304347826087
HYP,0,0.0,0.1,7748,0.021121840042218523,0.01794011357769747
HYP,1,0.1,0.2,1050,0.1442493838923318,0.12857142857142856
HYP,2,0.2,0.30000000000000004,588,0.24588989618481422,0.1598639455782313
HYP,3,0.30000000000000004,0.4,428,0.34796650032295245,0.18457943925233644
HYP,4,0.4,0.5,350,0.4483970560346331,0.29714285714285715
HYP,5,0.5,0.6000000000000001,311,0.5502621794053596,0.3215434083601286
HYP,6,0.6000000000000001,0.7000000000000001,335,0.6512200542350314,0.5104477611940299
HYP,7,0.7000000000000001,0.8,330,0.751084688576785,0.5272727272727272
HYP,8,0.8,0.9,431,0.855491799849092,0.6821345707656613
HYP,9,0.9,1.0,1175,0.9669624993141661,0.851063829787234
MI,0,0.0,0.1,7575,0.022962657856105125,0.008448844884488448
MI,1,0.1,0.2,1220,0.14540182017400616,0.040983606557377046
MI,2,0.2,0.30000000000000004,710,0.2475436649901766,0.08169014084507042
MI,3,0.30000000000000004,0.4,467,0.3482765472420278,0.09850107066381156
MI,4,0.4,0.5,418,0.44740576029679424,0.17464114832535885
MI,5,0.5,0.6000000000000001,328,0.5493026886407922,0.22560975609756098
MI,6,0.6000000000000001,0.7000000000000001,349,0.6487244352228662,0.28939828080229224
MI,7,0.7000000000000001,0.8,355,0.752043179559036,0.3971830985915493
MI,8,0.8,0.9,412,0.8507119182822773,0.5
MI,9,0.9,1.0,912,0.9587960451710642,0.7971491228070176
NORM,0,0.0,0.1,3722,0.03062369260102222,0.03089736700698549
NORM,1,0.1,0.2,1003,0.14494851021354244,0.1036889332003988
NORM,2,0.2,0.30000000000000004,653,0.24744913668855226,0.15773353751914243
NORM,3,0.30000000000000004,0.4,493,0.34962775735052315,0.23732251521298176
NORM,4,0.4,0.5,436,0.45076824218854994,0.33256880733944955
NORM,5,0.5,0.6000000000000001,421,0.5487243561450206,0.40380047505938244
NORM,6,0.6000000000000001,0.7000000000000001,461,0.6516413833469217,0.4750542299349241
NORM,7,0.7000000000000001,0.8,567,0.7498777305848594,0.6137566137566137
NORM,8,0.8,0.9,853,0.8534955907119536,0.7104337631887456
NORM,9,0.9,1.0,4137,0.9759753455509447,0.9238578680203046
STTC,0,0.0,0.1,4350,0.03221383990491767,0.06
STTC,1,0.1,0.2,1295,0.1461898130684746,0.24324324324324326
STTC,2,0.2,0.30000000000000004,808,0.2481612728373839,0.32425742574257427
STTC,3,0.30000000000000004,0.4,662,0.34757251848446996,0.4169184290030212
STTC,4,0.4,0.5,650,0.4530263938812109,0.5292307692307693
STTC,5,0.5,0.6000000000000001,649,0.5502378629242143,0.6163328197226502
STTC,6,0.6000000000000001,0.7000000000000001,698,0.6491219659247849,0.671919770773639
STTC,7,0.7000000000000001,0.8,824,0.7521687217273758,0.8058252427184466
STTC,8,0.8,0.9,1189,0.8526769646383114,0.8671152228763667
STTC,9,0.9,1.0,1621,0.9475121180780283,0.9358420727945712
